"t";"pig";"FI";"OLW";"culled";"week";"pen";"feedMix"
1;1;1,51081655538752;31,9362908044051;0;1;1;1
1;2;1,76787104594283;30,0559881955071;0;1;1;1
1;3;1,20379188235829;30,0160849284946;0;1;1;1
1;4;1,79675877143564;32,5445986421997;0;1;1;1
1;5;1,48367625051507;29,9210973944004;0;1;1;1
1;6;1,98939661807975;33,5726334157617;0;1;1;1
1;7;1,5320093234133;31,5881574728907;0;1;1;1
1;8;1,59941142231207;31,4462398783005;0;1;1;1
1;9;1,66251574124629;30,1812700392848;0;1;1;1
1;10;1,5529803447721;31,8132785066827;0;1;1;1
1;11;1,81044409380012;30,9704794880701;0;1;1;1
1;12;1,65533926378005;32,9386736826832;0;1;1;1
1;13;1,43922793886507;31,9866114100447;0;1;1;1
1;14;1,98365865598431;29,7173525272711;0;1;1;1
1;15;1,56516260079672;30,9001632980134;0;1;1;1
2;1;1,33436988758744;32,7973190341249;0;1;1;1
2;2;2,1564946879486;32,1858559622803;0;1;1;1
2;3;1,45719496363881;31,2843240129048;0;1;1;1
2;4;1,31787447912879;33,7504974806541;0;1;1;1
2;5;1,33935053015068;31,0368091790816;0;1;1;1
2;6;1,70744963817808;33,548159207106;0;1;1;1
2;7;1,68932545162874;31,4776907299965;0;1;1;1
2;8;1,66287965066031;32,5356567129061;0;1;1;1
2;9;1,74122110307463;33,0517284681274;0;1;1;1
2;10;1,52353270502168;30,0561650139013;0;1;1;1
2;11;1,91685092783673;32,5614550459674;0;1;1;1
2;12;1,89701017089556;34,4192201054977;0;1;1;1
2;13;1,81892524791493;32,8013784232195;0;1;1;1
2;14;1,93582246312181;33,7157900022255;0;1;1;1
2;15;1,83661045809055;30,6600016178636;0;1;1;1
3;1;1,46115935124384;31,23261372994;0;1;1;1
3;2;1,96927241983613;33,5512249453841;0;1;1;1
3;3;1,37170007380742;32,9636029976653;0;1;1;1
3;4;1,91784468638848;35,6207278660268;0;1;1;1
3;5;1,53737489738058;31,9385546437476;0;1;1;1
3;6;1,58216657763714;32,5860583335584;0;1;1;1
3;7;1,58081572923544;31,2518847302311;0;1;1;1
3;8;1,64575422498963;31,8544662535306;0;1;1;1
3;9;1,4731226619825;31,8288225095964;0;1;1;1
3;10;1,25255377900003;31,3822465145602;0;1;1;1
3;11;2,10940368972293;33,8010940741252;0;1;1;1
3;12;1,85080236658874;34,0813372303413;0;1;1;1
3;13;1,77245071177144;32,7682935920432;0;1;1;1
3;14;1,90460828079361;34,855959377361;0;1;1;1
3;15;1,62461317960728;30,3690598976227;0;1;1;1
4;1;1,60598960072407;32,5152434671266;0;1;1;1
4;2;2,02095297701394;32,3419463644296;0;1;1;1
4;3;1,62775558221265;32,7448754576591;0;1;1;1
4;4;1,80453928732712;35,1310054149829;0;1;1;1
4;5;1,31444401542927;34,6678913002751;0;1;1;1
4;6;1,61829324019185;32,5931651959793;0;1;1;1
4;7;1,74077045059286;31,4241608399481;0;1;1;1
4;8;1,64403003228582;32,9571943634986;0;1;1;1
4;9;1,93234665225492;31,8472270085642;0;1;1;1
4;10;1,26546236000753;33,1021792928235;0;1;1;1
4;11;2,03946980281841;35,465982946917;0;1;1;1
4;12;1,9696893584371;35,8947800471286;0;1;1;1
4;13;1,62595797421043;33,3808305459718;0;1;1;1
4;14;1,82390857599822;33,2768833958506;0;1;1;1
4;15;1,72479219178751;32,0914823779755;0;1;1;1
5;1;1,40337178903386;32,7594150135659;0;1;1;1
5;2;2,10447880101528;35,8026585861468;0;1;1;1
5;3;1,76851545408233;33,9884208981474;0;1;1;1
5;4;1,8478556244346;37,6746374269969;0;1;1;1
5;5;1,48397342212913;32,9327723917284;0;1;1;1
5;6;1,7282587318213;35,0689684154699;0;1;1;1
5;7;1,70296874919499;31,9662646312253;0;1;1;1
5;8;1,3567110825793;32,3323234560946;0;1;1;1
5;9;1,75894113876531;34,1641967412351;0;1;1;1
5;10;1,26696075203479;32,3142355237678;0;1;1;1
5;11;1,97728291718673;35,2931430712183;0;1;1;1
5;12;1,94919981815295;35,5117525664501;0;1;1;1
5;13;1,54706886601229;35,3128411677024;0;1;1;1
5;14;2,19987860592115;34,2903456588559;0;1;1;1
5;15;2,09779957399194;30,2302331393837;0;1;1;1
6;1;1,73260148698228;34,035500737615;0;1;1;1
6;2;2,02891638696967;33,9484303097618;0;1;1;1
6;3;1,51854757806068;34,0529573928095;0;1;1;1
6;4;1,67452119780701;36,5995628263083;0;1;1;1
6;5;1,5160802687341;33,609498635549;0;1;1;1
6;6;1,83367855117975;34,082707745213;0;1;1;1
6;7;1,89125283538442;33,7899348579542;0;1;1;1
6;8;1,77993140114523;33,5809743459516;0;1;1;1
6;9;1,61951834330138;35,0578221629072;0;1;1;1
6;10;1,54636714265643;33,9773470454306;0;1;1;1
6;11;1,79115032432622;38,2946686909131;0;1;1;1
6;12;1,92804630713295;34,8159749643887;0;1;1;1
6;13;1,72062394390955;36,5702535116951;0;1;1;1
6;14;2,11557582861204;34,3967624205071;0;1;1;1
6;15;1,7041198547603;33,3688068501029;0;1;1;1
7;1;1,61246089328043;33,201428186885;0;1;1;1
7;2;2,02690867160139;36,0880600127623;0;1;1;1
7;3;1,75563951944279;33,841720703204;0;1;1;1
7;4;1,68251444082444;37,8567798735428;0;1;1;1
7;5;1,84340410248546;34,6661261204097;0;1;1;1
7;6;1,75137065292455;36,6238080116988;0;1;1;1
7;7;1,58967592325967;35,3346162163229;0;1;1;1
7;8;1,3908406504783;35,076231296563;0;1;1;1
7;9;1,64811077473157;36,8010278307692;0;1;1;1
7;10;1,49292251333662;33,9536750609232;0;1;1;1
7;11;1,66064099085654;37,6956985039761;0;1;1;1
7;12;1,81287005086337;38,1644825177141;0;1;1;1
7;13;1,53987567533324;35,3592147203976;0;1;1;1
7;14;2,00969896912819;34,5940893838107;0;1;1;1
7;15;1,70293281520547;31,5899526446972;0;1;1;1
8;1;1,56443220628078;35,637062395157;0;2;1;1
8;2;1,89547049102205;36,9846288766721;0;2;1;1
8;3;2,03161091203871;36,0515704081065;0;2;1;1
8;4;1,92596629274395;39,1414492172012;0;2;1;1
8;5;1,50535535080632;35,3695880189089;0;2;1;1
8;6;1,66303844816851;38,0079294900242;0;2;1;1
8;7;1,88034230922081;36,4846379014506;0;2;1;1
8;8;1,61923046182376;35,8397728740722;0;2;1;1
8;9;1,94958166544845;36,4286157489494;0;2;1;1
8;10;1,27168604480326;35,78851437714;0;2;1;1
8;11;1,97315022535284;36,6143697803051;0;2;1;1
8;12;1,77452732129733;39,5282309483257;0;2;1;1
8;13;1,42585607732473;34,5659520869581;0;2;1;1
8;14;2,25562676374435;35,5743645829486;0;2;1;1
8;15;1,80159956667252;36,0691731997421;0;2;1;1
9;1;1,62428825446115;34,3426153393916;0;2;1;1
9;2;1,93436123190917;37,5309958861952;0;2;1;1
9;3;1,43409307936351;35,5372040556082;0;2;1;1
9;4;1,76140202122108;36,9487335985123;0;2;1;1
9;5;1,77543983628373;36,6862840584356;0;2;1;1
9;6;1,84893975365382;36,0373691006134;0;2;1;1
9;7;1,49962395136038;36,6547886384559;0;2;1;1
9;8;1,24025898896177;35,2376569655786;0;2;1;1
9;9;1,95786164726273;37,3486844559666;0;2;1;1
9;10;1,17856181108404;34,1463157400664;0;2;1;1
9;11;2,490889932162;38,8918265130303;0;2;1;1
9;12;1,66324696280512;35,8402887314083;0;2;1;1
9;13;1,81879149016575;39,0025438685409;0;2;1;1
9;14;2,09620496260901;37,5562925155715;0;2;1;1
9;15;1,7347668685952;34,9602814985012;0;2;1;1
10;1;1,46305310416344;35,944112547493;0;2;1;1
10;2;2,20910198787604;37,36502682884;0;2;1;1
10;3;1,73287358527706;38,3993922487104;0;2;1;1
10;4;1,7963476756828;38,4024255961348;0;2;1;1
10;5;1,46984551891536;36,0973206120403;0;2;1;1
10;6;1,71561820177453;38,8653106338005;0;2;1;1
10;7;1,403953930002;36,1922312816689;0;2;1;1
10;8;1,42387266111987;36,5782138977602;0;2;1;1
10;9;1,83973276105611;38,1812984179159;0;2;1;1
10;10;1,6019119152448;32,8034796286588;0;2;1;1
10;11;2,08112081084366;39,9176602980287;0;2;1;1
10;12;1,95968712223603;38,6925433651957;0;2;1;1
10;13;1,85396285376985;38,8695229350056;0;2;1;1
10;14;2,53709101733574;40,7988885967271;0;2;1;1
10;15;1,82357943596835;35,7872523870521;0;2;1;1
11;1;1,4563240924139;36,0957233335267;0;2;1;1
11;2;1,94150969461781;40,8726054518832;0;2;1;1
11;3;1,45888216797717;37,9121234919776;0;2;1;1
11;4;1,74460621739773;39,8078760559563;0;2;1;1
11;5;1,92148726805855;37,9984485917215;0;2;1;1
11;6;1,76237871801949;39,4515166666636;0;2;1;1
11;7;1,89403246653314;37,8940202621624;0;2;1;1
11;8;1,56401980690832;38,1876773265193;0;2;1;1
11;9;2,01430551026706;39,8475740035675;0;2;1;1
11;10;1,51411251084106;35,9305605282068;0;2;1;1
