"t";"pig";"FI";"OLW";"culled";"week";"pen";"feedMix"
1;1;1.44859305764286;28.8707955049255;0;1;2;1
1;2;1.57878534270069;32.2183774735824;0;1;2;1
1;3;1.67089149868868;28.0915840387509;0;1;2;1
1;4;1.94727106175385;32.1433593672061;0;1;2;1
1;5;1.54077535725402;34.0065015174185;0;1;2;1
1;6;1.38588536764816;32.9234453011762;0;1;2;1
1;7;2.04416807003804;33.0093548752151;0;1;2;1
1;8;1.97431087292653;30.4977842189754;0;1;2;1
1;9;1.82100285486743;31.3420731800786;0;1;2;1
1;10;1.93990284992017;29.7245796296459;0;1;2;1
1;11;1.58405685926926;30.4710792758997;0;1;2;1
1;12;1.68108972674099;30.058952170745;0;1;2;1
1;13;1.71889679154316;31.4638873922209;0;1;2;1
1;14;1.39494782589673;29.4513995265214;0;1;2;1
1;15;1.5691840921155;30.7369139299432;0;1;2;1
2;1;1.53611520348845;28.7781537499948;0;1;2;1
2;2;1.80478825278854;31.5782111332191;0;1;2;1
2;3;2.07580000011341;30.4863382414489;0;1;2;1
2;4;1.71772755410314;32.5653212601381;0;1;2;1
2;5;1.68675788862992;33.6199477657626;0;1;2;1
2;6;1.73099936867357;31.973024703483;0;1;2;1
2;7;2.08485928871644;32.6297556038126;0;1;2;1
2;8;1.86924319983877;29.3648428336045;0;1;2;1
2;9;1.5165174775364;34.5945275469786;0;1;2;1
2;10;1.7513056874277;30.1154488062202;0;1;2;1
2;11;1.54782819608757;31.5967102211908;0;1;2;1
2;12;1.57128641524221;32.8168517498452;0;1;2;1
2;13;1.41587671566992;32.0045063675725;0;1;2;1
2;14;1.62581872336831;31.3701404316126;0;1;2;1
2;15;1.56455421957089;31.2410071849235;0;1;2;1
3;1;1.58155155174614;29.1406734359233;0;1;2;1
3;2;1.62002303401318;31.1802923878871;0;1;2;1
3;3;1.87689336584841;30.4846610303064;0;1;2;1
3;4;1.64785207902372;33.1316255309459;0;1;2;1
3;5;1.48110323141405;34.4422934654821;0;1;2;1
3;6;1.8268321590226;32.0755546085063;0;1;2;1
3;7;2.12613397178323;33.3413505992405;0;1;2;1
3;8;1.75905391795268;29.7580693366695;0;1;2;1
3;9;2.03305186313937;35.9979353986542;0;1;2;1
3;10;1.93113402456564;31.9176178776019;0;1;2;1
3;11;1.53982506423581;30.7889192896289;0;1;2;1
3;12;1.51835587773116;33.1888537207454;0;1;2;1
3;13;1.77943388229438;30.3141119372623;0;1;2;1
3;14;1.68368747095106;31.5587101878188;0;1;2;1
3;15;1.45386918513951;29.9412422554557;0;1;2;1
4;1;1.63841512455483;32.715584477716;0;1;2;1
4;2;1.98761145219581;32.404835734155;0;1;2;1
4;3;2.05472332256128;30.2924770280855;0;1;2;1
4;4;2.01980331621386;33.1785965023244;0;1;2;1
4;5;1.53528004752961;34.6465316553078;0;1;2;1
4;6;1.69303619720831;33.5037062120415;0;1;2;1
4;7;2.04863054492294;33.9062506077698;0;1;2;1
4;8;2.19941319411409;31.5916428632639;0;1;2;1
4;9;2.07506207723737;35.2521547697167;0;1;2;1
4;10;1.97536795825331;34.1585581831849;0;1;2;1
4;11;1.51461938312087;32.0151211344358;0;1;2;1
4;12;1.7522667461447;35.0476953468472;0;1;2;1
4;13;1.92104395356772;32.9811872994289;0;1;2;1
4;14;1.27449109311303;34.0977006575074;0;1;2;1
4;15;1.77120882965601;30.1008381068249;0;1;2;1
5;1;1.5439977328447;31.2631619719175;0;1;2;1
5;2;1.92794051998789;33.3427006121001;0;1;2;1
5;3;2.0181032166551;31.3542251655364;0;1;2;1
5;4;1.91828535816036;34.4765717329764;0;1;2;1
5;5;1.55874224155569;34.2531894681097;0;1;2;1
5;6;1.6220907195511;34.069075681915;0;1;2;1
5;7;2.01259948569253;34.6842357980786;0;1;2;1
5;8;1.82084952846216;33.8761586740383;0;1;2;1
5;9;1.70027772941674;34.6329811028245;0;1;2;1
5;10;1.88277658025484;35.5641323791539;0;1;2;1
5;11;1.60828354316281;31.5197066821093;0;1;2;1
5;12;1.26720575382719;35.1815101120505;0;1;2;1
5;13;1.79997560417007;33.655045168335;0;1;2;1
5;14;1.669330606701;32.2998820021529;0;1;2;1
5;15;1.73982643551741;33.1931372509877;0;1;2;1
6;1;1.68601407222319;35.2794422092311;0;1;2;1
6;2;1.60690008577122;34.7086698894236;0;1;2;1
6;3;1.99501353470273;32.6607689564755;0;1;2;1
6;4;1.88534472548943;35.263136061669;0;1;2;1
6;5;1.84982579821834;35.9470894041207;0;1;2;1
6;6;1.98301659479802;35.027138084671;0;1;2;1
6;7;1.96196601909717;35.3463792641971;0;1;2;1
6;8;2.22536903803746;33.5065722956228;0;1;2;1
6;9;1.64812927407837;37.4990799412256;0;1;2;1
6;10;1.66515589380104;35.8382150885141;0;1;2;1
6;11;1.67992880333701;33.8283101519936;0;1;2;1
6;12;1.53137675235469;34.2049858433471;0;1;2;1
6;13;1.90987089575306;35.2834896250686;0;1;2;1
6;14;1.65517406575636;34.2183580590779;0;1;2;1
6;15;1.63285713248479;32.8094705180109;0;1;2;1
7;1;1.33994536716181;33.4059657323936;0;1;2;1
7;2;2.04290457515514;36.449962208617;0;1;2;1
7;3;2.03828076330875;34.4936314384728;0;1;2;1
7;4;2.01773518912249;36.2350339481776;0;1;2;1
7;5;1.89555200953004;38.2319575921218;0;1;2;1
7;6;1.93295362139102;34.0540417295463;0;1;2;1
7;7;1.85162838686291;36.0554754271705;0;1;2;1
7;8;1.79826085174015;34.2272013882232;0;1;2;1
7;9;1.79461020376405;36.4179946117779;0;1;2;1
7;10;2.12868721383402;35.6667505274142;0;1;2;1
7;11;1.89390565010381;32.7407392280715;0;1;2;1
7;12;1.30274226952947;33.6846968220717;0;1;2;1
7;13;1.99656656431578;34.222306579588;0;1;2;1
7;14;1.60032214515888;34.4448676994045;0;1;2;1
7;15;1.58486556632632;32.1139076290995;0;1;2;1
8;1;1.52420320342812;35.165165218464;0;2;2;1
8;2;1.7048396226959;35.6405180281869;0;2;2;1
8;3;2.45594451499762;34.9298984093306;0;2;2;1
